protocol,nodes,delay,nrl,packets_sent,pdr,throughput
AODV,100,186.337,14.1258,5631,84.6741,152.431
AODV,20,200.137,4.1225,5267,80.5202,145.692
AODV,40,183.867,6.4962,5725,82.2009,157.59
AODV,60,168.348,9.91878,5609,83.3482,149.298
AODV,80,174.738,12.3182,5568,83.0999,152.56
DSDV,100,220.073,13.7952,23959,10.0004,72.4146
DSDV,20,321,2.39105,4759,38.7056,99.2031
DSDV,40,212.081,3.06161,9308,32.9824,103.884
DSDV,60,224.664,4.94847,13079,23.6868,97.7795
DSDV,80,220.798,11.0758,15694,12.3805,67.7485
DSR,100,579.803,1.07585,15742,42.1675,194.707
DSR,20,733.798,0.698134,25257,21.7207,165.868
DSR,40,678.565,0.646085,16621,41.7725,202.047
DSR,60,663.989,0.848163,16790,40.4348,197.62
DSR,80,613.153,1.02997,14569,42.8169,183.562
